length,num_hiddens,loss_fun,Train_mse,Val_mse
1,80,mse,0.0039398939,0.0038087218
1,80,mae,0.0038822861,0.0041854484
1,80,msle,12.5550201178,12.5786252975
1,160,mse,0.0039010522,0.0044699089
1,160,mae,0.0056094652,0.0055091182
1,160,msle,0.8208118051,0.8377591074
1,240,mse,0.0031475412,0.0039599081
1,240,mae,0.0043511905,0.0052497623
1,240,msle,6.3443662524,6.3788131714
16,80,mse,0.0028529888,0.0043794111
16,80,mae,0.0035562928,0.0040206364
16,80,msle,434.403378296,432.089630127
16,160,mse,0.0029717858,0.0041231698
16,160,mae,0.0063994729,0.0071838386
16,160,msle,476.352296448,475.245004272
16,240,mse,0.0032189238,0.0032558876
16,240,mae,0.0039757866,0.0042559762
16,240,msle,735.157345581,736.404022217
32,80,mse,0.0127381218,0.0134085083
32,80,mae,0.0051953736,0.0045455583
32,80,msle,827.486869812,828.292175293
32,160,mse,0.0029180948,0.0034873451
32,160,mae,0.003301311,0.0032008152
32,160,msle,2184.25942993,2185.87182617
32,240,mse,0.0040907024,0.0046506146
32,240,mae,0.0037000017,0.0028648388
32,240,msle,46.1546589851,47.141268158
48,80,mse,0.0039417777,0.003855499
48,80,mae,0.0040682122,0.0034964227
48,80,msle,484.209944916,485.752514648
48,160,mse,0.0072711521,0.0069368702
48,160,mae,0.003110508,0.0024617166
48,160,msle,3575.47188721,3564.88779297
48,240,mse,0.0060123202,0.005758955
48,240,mae,0.0039360083,0.0033212503
48,240,msle,6100.01395264,6148.55146484
